Date,Close
10/1/2012,51.45
10/2/2012,51.5
10/3/2012,51.69
10/4/2012,52.07
10/5/2012,51.78
10/8/2012,51.61
10/9/2012,51.1
10/10/2012,50.78
10/11/2012,50.8
10/12/2012,50.65
10/15/2012,51.06
10/16/2012,51.59
10/17/2012,51.81
10/18/2012,51.68
10/19/2012,50.82
10/22/2012,50.85
10/23/2012,50.11
10/24/2012,49.96
10/25/2012,50.11
10/26/2012,50.07
10/29/2012,50.07
10/30/2012,50.07
10/31/2012,50.09
11/1/2012,50.64
11/2/2012,50.16
11/5/2012,50.28
11/6/2012,50.68
11/7/2012,49.52
11/8/2012,48.92
11/9/2012,49
11/12/2012,49.01
11/13/2012,48.83
11/14/2012,48.17
11/15/2012,48.1
11/16/2012,48.33
11/19/2012,49.3
11/20/2012,49.33
11/21/2012,49.45
11/23/2012,50.1
11/26/2012,50
11/27/2012,49.74
11/28/2012,50.15
11/29/2012,50.37
11/30/2012,50.38
12/3/2012,50.14
12/4/2012,50.06
12/5/2012,50.15
12/6/2012,50.33
12/7/2012,50.48
12/10/2012,50.5
12/11/2012,50.83
12/12/2012,50.86
12/13/2012,50.56
12/14/2012,50
12/17/2012,50.6
12/18/2012,51.18
12/19/2012,50.8
12/20/2012,51.08
12/21/2012,50.61
12/24/2012,50.49
12/26/2012,50.25
12/27/2012,50.2
12/28/2012,49.64
12/31/2012,50.49
1/2/2013,51.78
1/3/2013,51.67
1/4/2013,51.92
1/7/2013,51.76
1/8/2013,51.61
1/9/2013,51.75
1/10/2013,52.14
1/11/2013,52.15
1/14/2013,52.1
1/15/2013,52.16
1/16/2013,52.17
1/17/2013,52.47
1/18/2013,52.65
1/22/2013,52.89
1/23/2013,52.97
1/24/2013,52.97
1/25/2013,53.25
1/28/2013,53.16
1/29/2013,53.43
1/30/2013,53.24
1/31/2013,53.1
2/1/2013,53.64
2/4/2013,53.02
2/5/2013,53.58
2/6/2013,53.62
2/7/2013,53.54
2/8/2013,53.84
2/11/2013,53.81
2/12/2013,53.9
2/13/2013,53.96
2/14/2013,54
2/15/2013,53.95
2/19/2013,54.36
2/20/2013,53.68
2/21/2013,53.36
2/22/2013,53.83
2/25/2013,52.85
2/26/2013,53.18
2/27/2013,53.87
2/28/2013,53.83
3/1/2013,53.95
3/4/2013,54.2
3/5/2013,54.72
3/6/2013,54.79
3/7/2013,54.9
3/8/2013,55.15
3/11/2013,55.33
3/12/2013,55.2
3/13/2013,55.3
3/14/2013,55.61
3/15/2013,55.52
3/18/2013,55.21
3/19/2013,55.08
3/20/2013,55.45
3/21/2013,54.99
3/22/2013,55.38
3/25/2013,55.2
3/26/2013,55.65
3/27/2013,55.62
3/28/2013,55.84
4/1/2013,55.6
4/2/2013,55.88
4/3/2013,55.31
4/4/2013,55.53
4/5/2013,55.02
4/8/2013,55.39
4/9/2013,55.58
4/10/2013,56.27
4/11/2013,56.47
4/12/2013,56.31
4/15/2013,55.02
4/16/2013,55.8
4/17/2013,55.01
4/18/2013,54.64
4/19/2013,55.12
4/22/2013,55.38
4/23/2013,55.96
4/24/2013,55.97
4/25/2013,56.2
4/26/2013,56.09
4/29/2013,56.5
4/30/2013,56.64
5/1/2013,56.11
5/2/2013,56.65
5/3/2013,57.25
5/6/2013,57.36
5/7/2013,57.66
5/8/2013,57.93
5/9/2013,57.74
5/10/2013,57.99
5/13/2013,58
5/14/2013,58.6
5/15/2013,58.92
5/16/2013,58.62
5/17/2013,59.23
5/20/2013,59.19
5/21/2013,59.29
5/22/2013,58.81
5/23/2013,58.64
5/24/2013,58.61
5/28/2013,58.98
5/29/2013,58.58
5/30/2013,58.8
5/31/2013,57.96
6/3/2013,58.31
6/4/2013,57.99
6/5/2013,57.21
6/6/2013,57.7
6/7/2013,58.44
6/10/2013,58.43
6/11/2013,57.84
6/12/2013,57.36
6/13/2013,58.22
6/14/2013,57.88
6/17/2013,58.32
6/18/2013,58.77
6/19/2013,57.96
6/20/2013,56.52
6/21/2013,56.67
6/24/2013,55.98
6/25/2013,56.52
6/26/2013,57.07
6/27/2013,57.43
6/28/2013,57.18
7/1/2013,57.5
7/2/2013,57.48
7/3/2013,57.53
7/5/2013,57.84
7/8/2013,58.16
7/9/2013,58.58
7/10/2013,58.59
7/11/2013,59.39
7/12/2013,59.57
7/15/2013,59.66
7/16/2013,59.44
7/17/2013,59.61
7/18/2013,59.91
7/19/2013,60.01
7/22/2013,60.14
7/23/2013,60.02
7/24/2013,59.8
7/25/2013,59.95
7/26/2013,60
7/29/2013,59.78
7/30/2013,59.81
7/31/2013,59.8
8/1/2013,60.56
8/2/2013,60.66
8/5/2013,60.58
8/6/2013,60.23
8/7/2013,60.02
8/8/2013,60.27
8/9/2013,60.06
8/12/2013,60
8/13/2013,60.18
8/14/2013,59.88
8/15/2013,59.03
8/16/2013,58.84
8/19/2013,58.5
8/20/2013,58.72
8/21/2013,58.38
8/22/2013,58.89
8/23/2013,59.13
8/26/2013,58.89
8/27/2013,57.96
8/28/2013,58.13
8/29/2013,58.25
8/30/2013,58.07
9/3/2013,58.32
9/4/2013,58.8
9/5/2013,58.88
9/6/2013,58.89
9/9/2013,59.48
9/10/2013,59.92
9/11/2013,60.11
9/12/2013,59.92
9/13/2013,60.08
9/16/2013,60.43
9/17/2013,60.68
9/18/2013,61.42
9/19/2013,61.32
9/20/2013,60.88
9/23/2013,60.59
9/24/2013,60.44
9/25/2013,60.27
9/26/2013,60.5
9/27/2013,60.25
9/30/2013,59.89
10/1/2013,60.38
10/2/2013,60.34
10/3/2013,59.8
10/4/2013,59.92
10/7/2013,59.41
10/8/2013,58.69
10/9/2013,58.73
10/10/2013,60.02
10/11/2013,60.4
10/14/2013,60.65
10/15/2013,60.22
10/16/2013,61.06
10/17/2013,61.47
10/18/2013,61.88
10/21/2013,61.88
10/22/2013,62.24
10/23/2013,61.95
10/24/2013,62.15
10/25/2013,62.42
10/28/2013,62.51
10/29/2013,62.86
10/30/2013,62.56
10/31/2013,62.32
11/1/2013,62.5
11/4/2013,62.73
11/5/2013,62.56
11/6/2013,62.86
11/7/2013,62.05
11/8/2013,62.88
11/11/2013,62.92
11/12/2013,62.78
11/13/2013,63.31
11/14/2013,63.62
11/15/2013,63.89
11/18/2013,63.66
11/19/2013,63.54
11/20/2013,63.31
11/21/2013,63.83
11/22/2013,64.16
11/25/2013,64.08
11/26/2013,64.09
11/27/2013,64.27
11/29/2013,64.22
12/2/2013,64.05
12/3/2013,63.85
12/4/2013,63.78
12/5/2013,63.51
12/6/2013,64.23
12/9/2013,64.34
12/10/2013,64.14
12/11/2013,63.42
12/12/2013,63.2
12/13/2013,62.85
12/16/2013,63.25
12/17/2013,63.05
12/18/2013,64.1
12/19/2013,64.08
12/20/2013,64.38
12/23/2013,64.74
12/24/2013,64.93
12/26/2013,65.24
12/27/2013,65.23
12/30/2013,65.22
12/31/2013,65.49
1/2/2014,64.92
1/3/2014,64.9
1/6/2014,64.73
1/7/2014,65.13
1/8/2014,65.13
1/9/2014,65.16
1/10/2014,65.31
1/13/2014,64.49
1/14/2014,65.19
1/15/2014,65.53
1/16/2014,65.44
1/17/2014,65.19
1/21/2014,65.37
1/22/2014,65.42
1/23/2014,64.84
1/24/2014,63.48
1/27/2014,63.17
1/28/2014,63.56
1/29/2014,62.92
1/30/2014,63.63
1/31/2014,63.22
2/3/2014,61.78
2/4/2014,62.25
2/5/2014,62.14
2/6/2014,62.95
2/7/2014,63.79
2/10/2014,63.89
2/11/2014,64.6
2/12/2014,64.61
2/13/2014,64.99
2/14/2014,65.31
2/18/2014,65.4
2/19/2014,64.98
2/20/2014,65.38
2/21/2014,65.26
2/24/2014,65.67
2/25/2014,65.58
2/26/2014,65.59
2/27/2014,65.93
2/28/2014,66.11
3/3/2014,65.63
3/4/2014,66.63
3/5/2014,66.64
3/6/2014,66.77
3/7/2014,66.81
3/10/2014,66.78
3/11/2014,66.44
3/12/2014,66.48
3/13/2014,65.71
3/14/2014,65.53
3/17/2014,66.16
3/18/2014,66.64
3/19/2014,66.23
3/20/2014,66.63
3/21/2014,66.43
3/24/2014,66.11
3/25/2014,66.41
3/26/2014,65.94
3/27/2014,65.83
3/28/2014,66.14
3/31/2014,66.67
4/1/2014,67.14
4/2/2014,67.34
4/3/2014,67.27
4/4/2014,66.13
4/7/2014,65.42
4/8/2014,65.68
4/9/2014,66.41
4/10/2014,65.02
4/11/2014,64.41
4/14/2014,64.94
4/15/2014,65.38
4/16/2014,66.06
4/17/2014,66.16
4/21/2014,66.41
4/22/2014,66.68
4/23/2014,66.54
4/24/2014,66.66
4/25/2014,66.12
4/28/2014,66.34
4/29/2014,66.65
4/30/2014,66.86
5/1/2014,66.85
5/2/2014,66.76
5/5/2014,66.89
5/6/2014,66.29
5/7/2014,66.69
5/8/2014,66.62
5/9/2014,66.73
5/12/2014,67.38
5/13/2014,67.42
5/14/2014,67.12
5/15/2014,66.5
5/16/2014,66.75
5/19/2014,67.01
5/20/2014,66.58
5/21/2014,67.13
5/22/2014,67.3
5/23/2014,67.59
5/27/2014,67.99
5/28/2014,67.93
5/29/2014,68.3
5/30/2014,68.42
6/2/2014,68.48
6/3/2014,68.46
6/4/2014,68.6
6/5/2014,69.05
6/6/2014,69.38
6/9/2014,69.45
6/10/2014,69.43
6/11/2014,69.2
6/12/2014,68.73
6/13/2014,68.94
6/16/2014,69
6/17/2014,69.15
6/18/2014,69.69
6/19/2014,69.78
6/20/2014,69.9
6/23/2014,69.89
6/24/2014,69.45
6/25/2014,69.79
6/26/2014,69.72
6/27/2014,69.86
6/30/2014,69.84
7/1/2014,70.32
7/2/2014,70.37
7/3/2014,70.42
7/7/2014,70.15
7/8/2014,69.67
7/9/2014,70
7/10/2014,69.71
7/11/2014,69.82
7/14/2014,70.16
7/15/2014,70.02
7/16/2014,70.32
7/17/2014,69.5
7/18/2014,70.21
7/21/2014,70.05
7/22/2014,70.4
7/23/2014,70.53
7/24/2014,70.56
7/25/2014,70.22
7/28/2014,70.24
7/29/2014,69.93
7/30/2014,69.94
7/31/2014,68.55
8/1/2014,68.35
8/4/2014,68.84
8/5/2014,68.18
8/6/2014,68.21
8/7/2014,67.84
8/8/2014,68.63
8/11/2014,68.83
8/12/2014,68.72
8/13/2014,69.2
8/14/2014,69.5
8/15/2014,69.51
8/18/2014,70.1
8/19/2014,70.47
8/20/2014,70.65
8/21/2014,70.86
8/22/2014,70.73
8/25/2014,71.07
8/26/2014,71.14
8/27/2014,71.16
8/28/2014,71.05
8/29/2014,71.29
9/2/2014,71.25
9/3/2014,71.21
9/4/2014,71.11
9/5/2014,71.46
9/8/2014,71.26
9/9/2014,70.79
9/10/2014,71.06
9/11/2014,71.14
9/12/2014,70.72
9/15/2014,70.67
9/16/2014,71.2
9/17/2014,71.29
9/18/2014,71.65
9/19/2014,71.62
9/22/2014,71.04
9/23/2014,70.64
9/24/2014,71.19
9/25/2014,70.04
9/26/2014,70.66
9/29/2014,70.48
9/30/2014,70.29
10/1/2014,69.37
10/2/2014,69.37
10/3/2014,69.82
10/6/2014,69.71
10/7/2014,68.66
10/8/2014,69.88
10/9/2014,68.44
10/10/2014,67.66
10/13/2014,66.54
10/14/2014,66.65
10/15/2014,66.11
10/16/2014,66.13
10/17/2014,66.98
10/20/2014,67.6
10/21/2014,68.92
10/22/2014,68.43
10/23/2014,69.27
10/24/2014,69.76
10/27/2014,69.65
10/28/2014,70.48
10/29/2014,70.39
10/30/2014,70.83
10/31/2014,71.67
11/3/2014,71.66
11/4/2014,71.46
11/5/2014,71.89
11/6/2014,72.18
11/7/2014,72.22
11/10/2014,72.45
11/11/2014,72.5
11/12/2014,72.47
11/13/2014,72.51
11/14/2014,72.54
11/17/2014,72.6
11/18/2014,72.98
11/19/2014,72.88
11/20/2014,73.03
11/21/2014,73.42
11/24/2014,73.63
11/25/2014,73.56
11/26/2014,73.78
11/28/2014,73.59
12/1/2014,73.09
12/2/2014,73.57
12/3/2014,73.86
12/4/2014,73.78
12/5/2014,73.9
12/8/2014,73.37
12/9/2014,73.36
12/10/2014,72.16
12/11/2014,72.51
12/12/2014,71.34
12/15/2014,70.89
12/16/2014,70.28
12/17/2014,71.72
12/18/2014,73.46
12/19/2014,73.23
12/22/2014,73.52
12/23/2014,73.66
12/24/2014,73.65
12/26/2014,73.89
