Date,Close
10/1/2012,22.84
10/2/2012,22.86
10/3/2012,22.95
10/4/2012,23.11
10/5/2012,23.11
10/8/2012,23.03
10/9/2012,22.8
10/10/2012,22.66
10/11/2012,22.67
10/12/2012,22.61
10/15/2012,22.79
10/16/2012,23.02
10/17/2012,23.12
10/18/2012,23.06
10/19/2012,22.68
10/22/2012,22.69
10/23/2012,22.37
10/24/2012,22.3
10/25/2012,22.36
10/26/2012,22.35
10/31/2012,22.35
11/1/2012,22.6
11/2/2012,22.39
11/5/2012,22.44
11/6/2012,22.62
11/7/2012,22.1
11/8/2012,21.83
11/9/2012,21.87
11/12/2012,21.87
11/13/2012,21.79
11/14/2012,21.5
11/15/2012,21.47
11/16/2012,21.57
11/19/2012,22
11/20/2012,22.02
11/21/2012,22.07
11/23/2012,22.36
11/26/2012,22.31
11/27/2012,22.2
11/28/2012,22.38
11/29/2012,22.48
11/30/2012,22.48
12/3/2012,22.38
12/4/2012,22.34
12/5/2012,22.38
12/6/2012,22.46
12/7/2012,22.53
12/10/2012,22.54
12/11/2012,22.68
12/12/2012,22.7
12/13/2012,22.07
12/14/2012,21.98
12/17/2012,22.24
12/18/2012,22.49
12/19/2012,22.33
12/20/2012,22.45
12/21/2012,22.24
12/24/2012,22.19
12/26/2012,22.09
12/27/2012,22.06
12/28/2012,21.82
12/31/2012,22.19
1/2/2013,22.76
1/3/2013,22.71
1/4/2013,22.82
1/7/2013,22.75
1/8/2013,22.68
1/9/2013,22.74
1/10/2013,22.92
1/11/2013,22.92
1/14/2013,22.9
1/15/2013,22.92
1/16/2013,22.93
1/17/2013,23.06
1/18/2013,23.14
1/22/2013,23.24
1/23/2013,23.28
1/24/2013,23.28
1/25/2013,23.4
1/28/2013,23.36
1/29/2013,23.48
1/30/2013,23.4
1/31/2013,23.34
2/1/2013,23.57
2/4/2013,23.3
2/5/2013,23.55
2/6/2013,23.56
2/7/2013,23.53
2/8/2013,23.66
2/11/2013,23.65
2/12/2013,23.69
2/13/2013,23.71
2/14/2013,23.73
2/15/2013,23.71
2/19/2013,23.89
2/20/2013,23.59
2/21/2013,23.45
2/22/2013,23.66
2/25/2013,23.23
2/26/2013,23.37
2/27/2013,23.67
2/28/2013,23.65
3/1/2013,23.71
3/4/2013,23.82
3/5/2013,24.05
3/6/2013,24.08
3/7/2013,24.12
3/8/2013,24.23
3/11/2013,24.31
3/12/2013,24.26
3/13/2013,24.3
3/14/2013,24.43
3/15/2013,24.39
3/18/2013,24.26
3/19/2013,24.2
3/20/2013,24.36
3/21/2013,24.16
3/22/2013,24.34
3/25/2013,24.26
3/26/2013,24.45
3/27/2013,24.44
3/28/2013,24.54
4/1/2013,24.43
4/2/2013,24.56
4/3/2013,24.3
4/4/2013,24.4
4/5/2013,24.3
4/8/2013,24.46
4/9/2013,24.54
4/10/2013,24.84
4/11/2013,24.93
4/12/2013,24.86
4/15/2013,24.29
4/16/2013,24.64
4/17/2013,24.29
4/18/2013,24.13
4/19/2013,24.34
4/22/2013,24.45
4/23/2013,24.71
4/24/2013,24.71
4/25/2013,24.81
4/26/2013,24.77
4/29/2013,24.94
4/30/2013,25.01
5/1/2013,24.78
5/2/2013,25.01
5/3/2013,25.28
5/6/2013,25.32
5/7/2013,25.46
5/8/2013,25.57
5/9/2013,25.49
5/10/2013,25.6
5/13/2013,25.6
5/14/2013,25.87
5/15/2013,26.01
5/16/2013,25.88
5/17/2013,26.14
5/20/2013,26.13
5/21/2013,26.17
5/22/2013,25.96
5/23/2013,25.89
5/24/2013,25.88
5/28/2013,26.04
5/29/2013,25.86
5/30/2013,25.96
5/31/2013,25.59
6/3/2013,25.74
6/4/2013,25.6
6/5/2013,25.26
6/6/2013,25.47
6/7/2013,25.8
6/10/2013,25.79
6/11/2013,25.53
6/12/2013,25.32
6/13/2013,25.7
6/14/2013,25.55
6/17/2013,25.74
6/18/2013,25.94
6/19/2013,25.58
6/20/2013,24.95
6/21/2013,25.02
6/24/2013,24.71
6/25/2013,24.95
6/26/2013,25.19
6/27/2013,25.35
6/28/2013,25.24
7/1/2013,25.38
7/2/2013,25.37
7/3/2013,25.39
7/5/2013,25.65
7/8/2013,25.79
7/9/2013,25.98
7/10/2013,25.99
7/11/2013,26.34
7/12/2013,26.42
7/15/2013,26.46
7/16/2013,26.36
7/17/2013,26.44
7/18/2013,26.57
7/19/2013,26.62
7/22/2013,26.67
7/23/2013,26.62
7/24/2013,26.52
7/25/2013,26.59
7/26/2013,26.61
7/29/2013,26.51
7/30/2013,26.53
7/31/2013,26.52
8/1/2013,26.86
8/2/2013,26.9
8/5/2013,26.86
8/6/2013,26.71
8/7/2013,26.62
8/8/2013,26.73
8/9/2013,26.64
8/12/2013,26.61
8/13/2013,26.69
8/14/2013,26.55
8/15/2013,26.18
8/16/2013,26.09
8/19/2013,25.94
8/20/2013,26.04
8/21/2013,25.89
8/22/2013,26.12
8/23/2013,26.22
8/26/2013,26.12
8/27/2013,25.71
8/28/2013,25.78
8/29/2013,25.83
8/30/2013,25.75
9/3/2013,25.86
9/4/2013,26.08
9/5/2013,26.11
9/6/2013,26.11
9/9/2013,26.38
9/10/2013,26.57
9/11/2013,26.65
9/12/2013,26.57
9/13/2013,26.64
9/16/2013,26.8
9/17/2013,26.91
9/18/2013,27.24
9/19/2013,27.19
9/20/2013,26.99
9/23/2013,26.87
9/24/2013,26.8
9/25/2013,26.73
9/26/2013,26.83
9/27/2013,26.72
9/30/2013,26.56
10/1/2013,26.77
10/2/2013,26.76
10/3/2013,26.52
10/4/2013,26.71
10/7/2013,26.48
10/8/2013,26.16
10/9/2013,26.18
10/10/2013,26.75
10/11/2013,26.92
10/14/2013,27.03
10/15/2013,26.84
10/16/2013,27.21
10/17/2013,27.4
10/18/2013,27.58
10/21/2013,27.58
10/22/2013,27.74
10/23/2013,27.61
10/24/2013,27.7
10/25/2013,27.82
10/28/2013,27.86
10/29/2013,28.01
10/30/2013,27.88
10/31/2013,27.78
11/1/2013,27.86
11/4/2013,27.96
11/5/2013,27.88
11/6/2013,28.01
11/7/2013,27.65
11/8/2013,28.02
11/11/2013,28.04
11/12/2013,27.98
11/13/2013,28.21
11/14/2013,28.35
11/15/2013,28.47
11/18/2013,28.37
11/19/2013,28.32
11/20/2013,28.21
11/21/2013,28.44
11/22/2013,28.59
11/25/2013,28.55
11/26/2013,28.56
11/27/2013,28.64
11/29/2013,28.62
12/2/2013,28.54
12/3/2013,28.45
12/4/2013,28.42
12/5/2013,28.31
12/6/2013,28.63
12/9/2013,28.68
12/10/2013,28.59
12/11/2013,28.27
12/12/2013,27.69
12/13/2013,27.69
12/16/2013,27.86
12/17/2013,27.78
12/18/2013,28.24
12/19/2013,28.23
12/20/2013,28.36
12/23/2013,28.52
12/24/2013,28.6
12/26/2013,28.74
12/27/2013,28.74
12/30/2013,28.73
12/31/2013,28.85
1/2/2014,28.6
1/3/2014,28.59
1/6/2014,28.52
1/7/2014,28.69
1/8/2014,28.69
1/9/2014,28.7
1/10/2014,28.77
1/13/2014,28.41
1/14/2014,28.72
1/15/2014,28.86
1/16/2014,28.83
1/17/2014,28.72
1/21/2014,28.8
1/22/2014,28.82
1/23/2014,28.56
1/24/2014,27.96
1/27/2014,27.83
1/28/2014,28
1/29/2014,27.72
1/30/2014,28.03
1/31/2014,27.85
2/3/2014,27.21
2/4/2014,27.42
2/5/2014,27.38
2/6/2014,27.73
2/7/2014,28.1
2/10/2014,28.14
2/11/2014,28.45
2/12/2014,28.46
2/13/2014,28.63
2/14/2014,28.77
2/18/2014,28.81
2/19/2014,28.62
2/20/2014,28.8
2/21/2014,28.75
2/24/2014,28.93
2/25/2014,28.89
2/26/2014,28.89
2/27/2014,29.04
2/28/2014,29.12
3/3/2014,28.91
3/4/2014,29.35
3/5/2014,29.35
3/6/2014,29.41
3/7/2014,29.43
3/10/2014,29.41
3/11/2014,29.26
3/12/2014,29.28
3/13/2014,28.94
3/14/2014,28.86
3/17/2014,29.14
3/18/2014,29.35
3/19/2014,29.17
3/20/2014,29.35
3/21/2014,29.26
3/24/2014,29.12
3/25/2014,29.25
3/26/2014,29.04
3/27/2014,28.99
3/28/2014,29.13
3/31/2014,29.36
4/1/2014,29.57
4/2/2014,29.66
4/3/2014,29.63
4/4/2014,29.26
4/7/2014,28.94
4/8/2014,29.06
4/9/2014,29.38
4/10/2014,28.77
4/11/2014,28.5
4/14/2014,28.73
4/15/2014,28.93
4/16/2014,29.23
4/17/2014,29.27
4/21/2014,29.38
4/22/2014,29.5
4/23/2014,29.44
4/24/2014,29.49
4/25/2014,29.25
4/28/2014,29.35
4/29/2014,29.49
4/30/2014,29.57
5/1/2014,29.57
5/2/2014,29.53
5/5/2014,29.59
5/6/2014,29.33
5/7/2014,29.5
5/8/2014,29.47
5/9/2014,29.52
5/12/2014,29.81
5/13/2014,29.83
5/14/2014,29.69
5/15/2014,29.42
5/16/2014,29.53
5/19/2014,29.65
5/20/2014,29.45
5/21/2014,29.7
5/22/2014,29.77
5/23/2014,29.9
5/27/2014,30.08
5/28/2014,30.05
5/29/2014,30.21
5/30/2014,30.27
6/2/2014,30.29
6/3/2014,30.28
